latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.22,14.699999,251.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),soil_temperature_0cm (°C)
2026-04-10T00:00,2.3,0.00,68,-3.0,7.0,1.8
2026-04-10T01:00,2.0,0.00,65,-3.8,8.7,1.8
2026-04-10T02:00,1.9,0.00,63,-4.4,8.9,2.2
2026-04-10T03:00,2.3,0.00,60,-4.7,8.2,2.9
2026-04-10T04:00,2.5,0.00,57,-5.1,8.7,3.1
2026-04-10T05:00,2.4,0.00,58,-5.0,10.1,3.2
2026-04-10T06:00,2.6,0.00,60,-4.3,8.3,3.9
2026-04-10T07:00,3.3,0.00,60,-3.7,7.3,4.5
2026-04-10T08:00,2.9,1.10,75,-1.1,2.9,4.3
2026-04-10T09:00,2.5,2.10,90,1.0,10.8,3.8
2026-04-10T10:00,2.3,2.20,93,1.3,14.0,3.9
2026-04-10T11:00,3.1,1.40,92,1.9,7.5,4.8
2026-04-10T12:00,3.6,1.20,92,2.5,6.2,5.5
2026-04-10T13:00,3.6,0.50,92,2.5,8.9,4.7
2026-04-10T14:00,4.3,0.10,91,3.0,4.1,6.7
2026-04-10T15:00,5.0,0.00,90,3.5,2.0,6.9
2026-04-10T16:00,5.2,0.00,90,3.7,4.0,6.4
2026-04-10T17:00,5.1,0.00,90,3.6,4.3,5.3
2026-04-10T18:00,4.9,0.00,92,3.8,0.4,5.0
2026-04-10T19:00,4.4,0.00,95,3.7,4.2,4.4
2026-04-10T20:00,4.2,0.00,95,3.5,1.1,4.3
2026-04-10T21:00,4.0,0.00,96,3.4,3.9,3.9
2026-04-10T22:00,3.5,0.00,96,2.9,3.9,3.2
2026-04-10T23:00,2.8,0.00,98,2.6,2.6,3.0
2026-04-11T00:00,2.6,0.00,98,2.4,3.1,2.7
2026-04-11T01:00,1.6,0.00,100,1.6,2.0,2.1
2026-04-11T02:00,1.2,0.00,100,1.2,1.3,2.3
2026-04-11T03:00,1.5,0.00,100,1.5,0.8,2.2
2026-04-11T04:00,0.9,0.00,100,0.9,1.8,2.1
2026-04-11T05:00,0.6,0.00,100,0.6,0.4,2.2
2026-04-11T06:00,1.3,0.00,100,1.3,1.9,3.6
2026-04-11T07:00,2.7,0.00,100,2.7,2.5,5.5
2026-04-11T08:00,5.1,0.00,91,3.7,2.8,7.9
2026-04-11T09:00,7.7,0.00,84,5.2,6.8,10.8
2026-04-11T10:00,10.2,0.00,74,5.8,4.8,12.9
2026-04-11T11:00,11.8,0.00,55,3.0,5.4,13.6
2026-04-11T12:00,13.2,0.00,49,2.8,7.7,15.6
2026-04-11T13:00,14.3,0.00,41,1.3,12.1,16.1
2026-04-11T14:00,14.5,0.00,51,4.5,14.7,15.3
2026-04-11T15:00,14.2,0.00,50,4.0,16.9,13.9
2026-04-11T16:00,13.4,0.00,48,2.6,16.6,12.3
2026-04-11T17:00,12.3,0.00,46,1.0,15.0,10.1
